run_mode,lookback,rebalance_interval,status,strategy_return_pct,benchmark_return_pct,alpha,beta,sharpe,max_drawdown_pct,cagr_pct,benchmark_cagr_pct,annualized_excess_pct,calmar,positive_annualized_excess,calmar_ge_0_3,step04_numeric_gate,image_file,source_note
m3b_efficiency,31,5,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,31,1,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,14,20,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,14,10,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,14,5,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3b_efficiency,14,1,missing_not_run,,,,,,,,,,,False,False,False,,未取得最终截图指标
m3c_bias_trend,252,20,complete,53.01,47.47,0.02,0.45,0.2,34.86,7.346190264865915,6.688419150117952,0.6577711147479626,0.21073408677182773,True,False,False,m3c_bias_trend_lb252_f20.png,m3c_bias_trend_results.csv
m3c_bias_trend,252,10,complete,50.06,47.47,0.02,0.37,0.19,21.81,6.9984509594905875,6.688419150117952,0.3100318093726351,0.32088266664330983,True,True,False,m3c_bias_trend_lb252_f10.png,m3c_bias_trend_results.csv
m3c_bias_trend,252,5,complete,40.15,47.47,0.01,0.36,0.11,19.33,5.786971373670746,6.688419150117952,-0.9014477764472062,0.2993777223833806,False,False,False,m3c_bias_trend_lb252_f5.png,m3c_bias_trend_results.csv
m3c_bias_trend,252,1,complete,77.05,47.47,0.05,0.37,0.37,19.5,9.989017300278814,6.688419150117952,3.3005981501608606,0.5122572974501955,True,True,True,m3c_bias_trend_lb252_f1.png,m3c_bias_trend_results.csv
m3c_bias_trend,126,20,complete,-9.55,47.47,-0.07,0.53,-0.3,39.81,-1.65896791826734,6.688419150117952,-8.347387068385292,-0.04167214062465059,False,False,False,m3c_bias_trend_lb126_f20.png,m3c_bias_trend_results.csv
m3c_bias_trend,126,10,complete,9.88,47.47,-0.04,0.42,-0.13,41.28,1.5827054318938272,6.688419150117952,-5.105713718224125,0.03834073236176907,False,False,False,m3c_bias_trend_lb126_f10.png,m3c_bias_trend_results.csv
m3c_bias_trend,126,5,complete,27.58,47.47,-0.01,0.37,0.01,38.03,4.143083671768499,6.688419150117952,-2.545335478349453,0.10894251043303968,False,False,False,Snipaste_2026-07-16_00-18-46.png,补图确认f5；原m3c_bias_trend_lb126_f1.png日志同样为f5
m3c_bias_trend,126,1,missing_config_mismatch,,,,,,,,,,,False,False,False,m3c_bias_trend_lb126_f1.png,文件名写f1，但图内S05_CODE_VERSION与S05_CONFIG均为f5
m3c_bias_trend,63,20,complete,29.97,47.47,-0.01,0.4,0.03,33.15,4.465732338582429,6.688419150117952,-2.2226868115355236,0.13471289105829348,False,False,False,m3c_bias_trend_lb63_f20.png,m3c_bias_trend_results.csv
m3c_bias_trend,63,10,complete,6.03,47.47,-0.04,0.41,-0.17,42.84,0.98064186952036,6.688419150117952,-5.707777280597592,0.022890799942118577,False,False,False,m3c_bias_trend_lb63_f10.png,m3c_bias_trend_results.csv
m3c_bias_trend,63,5,complete,14.69,47.47,-0.03,0.43,-0.09,36.07,2.3106692284695196,6.688419150117952,-4.377749921648433,0.06406069388604158,False,False,False,m3c_bias_trend_lb63_f5.png,m3c_bias_trend_results.csv
m3c_bias_trend,63,1,complete,19.81,47.47,-0.02,0.39,-0.05,40.65,3.0581110510422116,6.688419150117952,-3.630308099075741,0.07523028415848,False,False,False,m3c_bias_trend_lb63_f1.png,m3c_bias_trend_results.csv
m3c_bias_trend,31,20,complete,3.65,47.47,-0.04,0.34,-0.22,41.56,0.5992827719798033,6.688419150117952,-6.089136378138149,0.014419700961977942,False,False,False,m3c_bias_trend_lb31_f20.png,m3c_bias_trend_results.csv
m3c_bias_trend,31,10,complete,-18.89,47.47,-0.09,0.42,-0.43,53.77,-3.4292212539698497,6.688419150117952,-10.117640404087801,-0.06377573468420772,False,False,False,m3c_bias_trend_lb31_f10.png,m3c_bias_trend_results.csv
m3c_bias_trend,31,5,complete,-35.65,47.47,-0.12,0.36,-0.67,48.15,-7.083803190895532,6.688419150117952,-13.772222341013485,-0.1471194847538013,False,False,False,m3c_bias_trend_lb31_f5.png,m3c_bias_trend_results.csv
m3c_bias_trend,31,1,complete,-8.61,47.47,-0.06,0.3,-0.35,36.55,-1.489366282819038,6.688419150117952,-8.17778543293699,-0.040748735508044816,False,False,False,m3c_bias_trend_lb31_f1.png,m3c_bias_trend_results.csv
m3c_bias_trend,14,20,complete,5.18,47.47,-0.05,0.55,-0.16,44.83,0.8452687618129451,6.688419150117952,-5.843150388305007,0.018854980187663285,False,False,False,m3c_bias_trend_lb14_f20.png,m3c_bias_trend_results.csv
m3c_bias_trend,14,10,complete,90.33,47.47,0.07,0.39,0.44,21.48,11.322907673589677,6.688419150117952,4.634488523471725,0.5271372287518472,True,True,True,m3c_bias_trend_lb14_f10.png,m3c_bias_trend_results.csv
m3c_bias_trend,14,5,complete,-18.42,47.47,-0.09,0.41,-0.42,45.92,-3.336180802112587,6.688419150117952,-10.02459995223054,-0.07265202095192916,False,False,False,m3c_bias_trend_lb14_f5.png,m3c_bias_trend_results.csv
