signal_date,top_n,selected_symbols,selected_names,selected_bucket,selected_themes,selected_count,target_weight_each,selected_momentums,top_sector_symbols,top_sector_momentums,best_sector_symbol,best_sector_momentum,best_defensive_symbol,best_defensive_momentum,reason
2021-11-30,2,512660|512690,军工ETF国泰|酒ETF鹏华,sector,军工|白酒/酒,2,0.5,0.12930375|0.12150668,512660|512690,0.12930375|0.12150668,512660,0.1293037490436113,511260,0.006303140841670496,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2021-12-31,2,512980|512690,传媒ETF广发|酒ETF鹏华,sector,传媒|白酒/酒,2,0.5,0.20336606|0.12209302,512980|512690,0.20336606|0.12209302,512980,0.20336605890603088,511010,0.012289452166802883,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2022-01-28,2,512800|515220,银行ETF华宝|煤炭ETF国泰,sector,银行|煤炭,2,0.5,0.03014184|0.02119205,512800|515220,0.03014184|0.02119205,512800,0.03014184397163122,511010,0.015750531122561195,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2022-02-28,2,515220|512400,煤炭ETF国泰|有色金属ETF南方,sector,煤炭|有色金属,2,0.5,0.07217695|0.06113208,515220|512400,0.07217695|0.06113208,515220,0.0721769499417928,511260,0.009964009006613317,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2022-03-31,2,515220,煤炭ETF国泰,sector,煤炭,1,1.0,0.27070457,515220|512400,0.27070457|-0.00570033,515220,0.2707045735475895,511260,-0.006171225354322463,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2022-04-29,2,515220,煤炭ETF国泰,sector,煤炭,1,1.0,0.05863192,515220|512800,0.05863192|-0.03071672,515220,0.05863192182410426,511260,0.003598700956727763,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2022-05-31,2,515220|512690,煤炭ETF国泰|酒ETF鹏华,sector,煤炭|白酒/酒,2,0.5,0.09017224|0.09005376,515220|512690,0.09017224|0.09005376,515220,0.09017223910840944,511260,0.007866902878391757,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2022-06-30,2,515790|515030,光伏ETF华泰柏瑞|新能源车ETF华夏,sector,光伏|新能源车,2,0.5,0.47258486|0.46397516,515790|515030,0.47258486|0.46397516,515790,0.47258485639686687,511010,0.0032814505776637137,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2022-07-29,2,515790|515030,光伏ETF华泰柏瑞|新能源车ETF华夏,sector,光伏|新能源车,2,0.5,0.24450744|0.17817607,515790|515030,0.24450744|0.17817607,515790,0.24450744153082926,511260,0.00862346522333124,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
2022-08-31,2,515220,煤炭ETF国泰,sector,煤炭,1,1.0,0.03603604,515220|512880,0.03603604|-0.03929679,515220,0.03603603603603589,511260,0.0215167332972539,行业/主题 ETF 中选择动量为正的 Top2，入选标的等权持有
