date,position,strategy_return,strategy_return_after_cost,trade,nav
2016-12-06,512010,-0.0060606060606061,-0.0060606060606061,False,0.7232595042519757
2016-12-07,512010,0.0060975609756097615,0.0060975609756097615,False,0.7276696231803415
2016-12-08,512010,0.0,0.0,False,0.7276696231803415
2016-12-09,512010,-0.0060606060606061,-0.0060606060606061,False,0.7232595042519757
2016-12-12,512010,-0.015243902439024404,-0.015243902439024404,False,0.7122342069310614
2016-12-13,512010,0.0,0.0,False,0.7122342069310614
2016-12-14,512010,0.0,0.0,False,0.7122342069310614
2016-12-15,512010,0.0,0.0,False,0.7122342069310614
2016-12-16,512010,0.006191950464396356,0.006191950464396356,False,0.7166443258594272
2016-12-19,512010,0.030769230769230882,0.030769230769230882,False,0.7386949205012557
2016-12-20,512010,-0.020895522388059695,-0.020895522388059695,False,0.7232595042519757
2016-12-21,512010,-0.009146341463414642,-0.009146341463414642,False,0.7166443258594272
2016-12-22,512010,0.009230769230769154,0.009230769230769154,False,0.7232595042519757
2016-12-23,512010,0.0,0.0,False,0.7232595042519757
2016-12-26,512010,0.009146341463414531,0.009146341463414531,False,0.7298746826445242
2016-12-27,512010,-0.009063444108761365,-0.009063444108761365,False,0.7232595042519756
2016-12-28,512010,0.0,0.0,False,0.7232595042519756
2016-12-29,512010,-0.015243902439024404,-0.015243902439024404,False,0.7122342069310613
2016-12-30,512010,0.018575851393188847,0.018575851393188847,False,0.7254645637161584
2017-01-03,512010,0.015197568389057725,0.015197568389057725,False,0.7364898610370727
2017-01-04,512010,-0.0029940119760478723,-0.0029940119760478723,False,0.7342848015728899
2017-01-05,512010,-0.006006006006005982,-0.006006006006005982,False,0.7298746826445242
2017-01-06,512010,-0.0060422960725075026,-0.0060422960725075026,False,0.7254645637161585
2017-01-09,512010,0.0,0.0,False,0.7254645637161585
2017-01-10,512010,0.003039513677811634,0.003039513677811634,False,0.7276696231803415
2017-01-11,512010,0.0,0.0,False,0.7276696231803415
2017-01-12,512010,0.0,0.0,False,0.7276696231803415
2017-01-13,512010,0.0,0.0,False,0.7276696231803415
