date,portfolio_value,nav,daily_return
2016-03-08,95255.98399395941,0.9525598399395941,0.0002042275094455981
2016-03-09,95325.826889087,0.95325826889087,0.0007332126780823511
2016-03-10,95448.71502102035,0.9544871502102036,0.001289137854280975
2016-03-11,95712.17303048901,0.9571217303048901,0.002760204885006834
2016-03-14,95477.88990126354,0.9547788990126354,-0.0024477882155161668
2016-03-15,95446.06275918007,0.9544606275918007,-0.0003333456794696321
2016-03-16,95609.61890599786,0.9560961890599786,0.001713597628751451
2016-03-17,95608.73481871777,0.9560873481871777,-9.246844514310126e-06
2016-03-18,95607.85073143768,0.9560785073143767,-9.246930019246591e-06
2016-03-21,95515.02156702758,0.9551502156702758,-0.0009709366302026456
2016-03-22,95617.57569151872,0.9561757569151872,0.0010736962920452342
2016-03-23,95723.66616513027,0.9572366616513027,0.0011095290049374373
2016-03-24,95939.38346147373,0.9593938346147373,0.0022535419398932444
2016-03-25,96046.35802236536,0.9604635802236535,0.0011150223925984193
2016-03-28,96083.4896881294,0.960834896881294,0.0003866014967002229
2016-03-29,96120.62135389344,0.9612062135389344,0.0003864520937422178
2016-03-30,96174.5506779793,0.9617455067797931,0.0005610588375963843
2016-03-31,96148.02805957642,0.9614802805957642,-0.00027577584938964783
2016-04-01,96394.93661409843,0.9639493661409844,0.0025680043522995355
2016-04-05,96555.64171320554,0.9655564171320553,0.0016671529102245675
2016-04-06,97022.08262338059,0.9702208262338059,0.004830799131970931
2016-04-07,96428.61593258833,0.9642861593258834,-0.00611682077672937
2016-04-08,95306.80864032451,0.9530680864032451,-0.011633551735804826
2016-04-11,96431.87628490565,0.9643187628490565,0.011804693291399548
2016-04-12,96133.98939345685,0.9613398939345685,-0.0030890915216530423
2016-04-13,97068.38194717519,0.970683819471752,0.0097196897748002
2016-04-14,97068.38194122133,0.9706838194122134,-6.133671348607095e-11
2016-04-15,96470.97832091406,0.9647097832091406,-0.006154461508063758
2016-04-18,95817.37860357048,0.9581737860357048,-0.0067750916256841265
2016-04-19,96154.72979840521,0.9615472979840521,0.0035207725336596774
2016-04-20,93612.15623118335,0.9361215623118335,-0.026442522094883292
2016-04-21,93948.85681644834,0.9394885681644835,0.0035967613483176564
2016-04-22,94752.13952792733,0.9475213952792733,0.008550212729553364
2016-04-25,95019.3809570095,0.950193809570095,0.002820426329301018
2016-04-26,94571.13074033792,0.9457113074033792,-0.00471746092383396
2016-04-27,94981.4156630582,0.949814156630582,0.004338373872749823
2016-04-28,94854.76880081736,0.9485476880081736,-0.0013333857087381995
2016-04-29,95151.53959192842,0.9515153959192842,0.0031286860414392326
2016-05-03,97785.01185840275,0.9778501185840275,0.027676612252080846
2016-05-04,97613.42519290224,0.9761342519290225,-0.0017547338006050905
2016-05-05,98251.14579441398,0.9825114579441399,0.006533123904334692
2016-05-06,96338.46524387834,0.9633846524387834,-0.01946725949168926
2016-05-09,95650.19592223025,0.9565019592223025,-0.007144283645226679
2016-05-10,96343.2429924456,0.963432429924456,0.007245641930298197
2016-05-11,98224.0409110093,0.982240409110093,0.019521845644236757
2016-05-12,98077.42310882508,0.9807742310882508,-0.001492687541913007
2016-05-13,97216.93732586128,0.9721693732586127,-0.008773535801496535
2016-05-16,97273.00715728171,0.9727300715728171,0.0005767496175330677
2016-05-17,97418.47794107218,0.9741847794107218,0.0014954897359682473
2016-05-18,96394.45695393583,0.9639445695393584,-0.01051156832645006
2016-05-19,96369.71635171963,0.9636971635171964,-0.00025666000927859756
2016-05-20,96811.69132479437,0.9681169132479437,0.004586243374024912
2016-05-23,96467.09713858092,0.9646709713858093,-0.0035594273945422916
2016-05-24,96174.74316885993,0.9617474316885993,-0.003030608138866353
2016-05-25,96028.53696227542,0.9602853696227542,-0.00152021416192194
2016-05-26,95416.57413571257,0.9541657413571256,-0.006372718422267165
2016-05-27,95710.21135262614,0.9571021135262614,0.0030774235982935494
2016-05-30,95391.2708159717,0.953912708159717,-0.003332356413667914
2016-05-31,97158.13833088361,0.971581383308836,0.01852231865450804
2016-06-01,97123.52567464848,0.9712352567464848,-0.0003562507148628935
2016-06-02,97408.26316691047,0.9740826316691047,0.002931704654295819
2016-06-03,99163.36700775572,0.9916336700775572,0.018018018018018056
2016-06-06,99455.88431456326,0.9945588431456326,0.002949852507374562
2016-06-07,98578.33239414064,0.9857833239414064,-0.008823529411764675
2016-06-08,98870.84970094818,0.9887084970094818,0.0029673590504450953
2016-06-13,95945.67663287278,0.9594567663287278,-0.029585798816568087
2016-06-14,97408.26316691047,0.9740826316691047,0.015243902439024293
2016-06-15,98870.84970094818,0.9887084970094818,0.015015015015015232
2016-06-16,98285.8150873331,0.9828581508733311,-0.00591715976331364
2016-06-17,99748.4016213708,0.997484016213708,0.014880952380952328
2016-06-20,99748.4016213708,0.997484016213708,0.0
2016-06-21,99455.88431456326,0.9945588431456326,-0.0029325513196480912
2016-06-22,98870.84970094818,0.9887084970094818,-0.00588235294117645
2016-06-23,98578.33239414064,0.9857833239414064,-0.00295857988165682
2016-06-24,97993.29778052555,0.9799329778052555,-0.005934718100890302
2016-06-27,98870.84970094818,0.9887084970094818,0.008955223880597218
