date,portfolio_value,nav,gross_return,cost,daily_return,one_way_turnover,two_way_traded,cash_target
2021-12-20,335944.1236580033,3.359441236580033,-0.01975100657940687,0.0,-0.01975100657940687,0.0,0.0,False
2021-12-21,336829.7297458946,3.368297297458946,0.002636170796048572,0.0,0.002636170796048572,0.0,0.0,False
2021-12-22,338231.82172469294,3.3823182172469295,0.004162613495715191,0.0,0.004162613495715191,0.0,0.0,False
2021-12-23,341638.1196813922,3.416381196813922,0.010070897348836184,0.0,0.010070897348836184,0.0,0.0,False
2021-12-24,336585.249627348,3.36585249627348,-0.014790123709720918,0.0,-0.014790123709720918,0.0,0.0,False
2021-12-27,335296.636762494,3.3529663676249397,-0.0038284888190457016,0.0,-0.0038284888190457016,0.0,0.0,False
2021-12-28,341381.9607754652,3.413819607754652,0.018149075611759713,0.0,0.018149075611759713,0.0,0.0,False
2021-12-29,336676.7613709338,3.366767613709338,-0.01378280033849281,0.0,-0.01378280033849281,0.0,0.0,False
2021-12-30,339740.916805259,3.39740916805259,0.009101178892918208,0.0,0.009101178892918208,0.0,0.0,False
2021-12-31,339602.1432289892,3.396021432289892,-0.0004084688343540437,0.0,-0.0004084688343540437,0.0,0.0,False
2022-01-04,334303.2313422902,3.343032313422902,-0.015536626752851019,6.666666666666667e-05,-0.015603293419517685,0.3333333333333333,0.6666666666666666,False
